,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,y
0,-0.005962472649611143,0.002994401767096919,0.010310913681073978,0.003520237906606256,0.013629946196255986,0.0012488662328223388,0.010055762787440062,0.0026821914772194996,-0.0006438736634999948,0.030599120655192203,-0.018424174641472942,0.012567267728084721,0.7997888845408296
1,-0.010516638516746477,0.000927631184339666,-0.003033781442077141,0.005388589900438751,-0.015156894307766934,-0.025433170643517515,0.0033488594107947264,-0.011916457196864495,-0.012691345988336326,0.005593500846763906,0.018554857213004844,-0.008537047819255943,-2.102526523432232
2,0.02634329063934277,-0.009401299236092226,-0.0016162868492623867,-0.013509122327748336,-0.008762483343424325,0.0002784808376880776,-0.011721030845258334,-0.014113536910429323,-0.02615953179959119,-0.011976647231382228,0.020330712147556045,-0.023739076171862203,6.356173154465416
3,0.023209668858498504,-0.013601054019933093,0.0016533584548360642,0.01033012676131575,0.010953292326301168,-0.02014635900441886,0.004575044044491462,-0.014586306983253248,-0.016517970074355327,-0.011041003349220086,0.02012249874487952,-0.015880771209126624,-3.1289448233294337
4,-0.01365517267619115,-0.008852623556993112,-0.007224572903303086,-0.014653235591468519,0.0012289881029262579,-0.02457435113942252,-0.0082573895388886,-0.014607001873878917,0.008607407589118918,0.010025670656442599,-0.006604129381924826,0.014464826388469229,-6.639211109620047
5,-0.038207897716268646,0.024613325434148018,-0.029208147246062115,0.044138279614544196,0.0415159719580593,-0.01078008076666336,0.009230919057247777,-0.0023708467349881275,0.012687424718788759,0.004973197284945874,0.008092792306624672,-0.008318159126718891,-2.35584780495759
6,0.015069549311135896,0.0011245041537538952,0.002523068077695405,0.015091596564210469,0.003407928875895224,0.0003380886557190973,0.00012775606759645307,0.015247934578685276,-0.008494029648631045,-0.005727728142210389,-0.0018779080769917849,0.013150280201076671,2.0703124019150603
7,0.007178567407105661,0.010048673621979295,-0.001547080201582096,0.0053991454482032655,0.015826388817425322,0.02209368993300462,-0.00986389604635016,0.0034466820072687437,0.015155992346814664,-0.0031417324099496727,-0.009042403293766162,0.003675303012008021,-2.1637157857424407
8,0.008280540570213,0.006873383881628736,-0.010754635547307115,-0.008212079766149408,0.00866519170612694,0.02956844570454139,0.003983119399886019,0.0023857405353891557,0.000210011470763044,0.0071987831921093565,-0.013076465188056203,-0.005329151830226761,3.1227770299020703
9,0.011892717546349888,-0.0031470741105301607,-0.0080186601413394,-0.0167682681359689,-0.005619580450662315,0.014028248962219395,-0.009166246092770539,-0.008736209952217524,0.0005617579305319817,-0.00718726671932404,-0.002777584425822546,-0.008973880176221357,-2.9564452796284155
